Word,Ink,Response Time,Correct
r,r,0.6575832070011529,1.0
r,y,0.8480330290003621,1.0
r,r,0.5933516770019196,1.0
r,y,0.5234073219980928,1.0
y,y,0.7043821750012285,1.0
b,y,1.2310789650000515,1.0
r,y,0.9762464269988413,1.0
r,g,0.9397517179968418,1.0
y,r,0.9760766269973828,1.0
r,g,0.9802978820007411,1.0
b,g,0.7028469249999034,1.0
b,y,0.8701871990015206,1.0
g,r,1.1264712769989274,1.0
g,y,1.1072800639994966,1.0
r,y,0.8181426909977745,1.0
g,y,0.9551881840015994,1.0
g,g,0.9756020120003086,1.0
b,r,2.066102812997997,1.0
g,g,0.8188096869998844,1.0
y,y,0.94085106899729,1.0
