Word,Ink,Response Time,Correct
g,y,4.495211839675903,1.0
b,b,1.7424709796905518,1.0
r,y,1.9958059787750244,1.0
b,y,1.783155918121338,0.0
r,g,3.29852294921875,1.0
g,b,2.3451411724090576,1.0
r,b,1.654407024383545,1.0
r,b,1.5671041011810303,1.0
b,g,2.091158866882324,1.0
r,y,1.7544879913330078,1.0
r,r,2.0952041149139404,1.0
g,y,2.7265350818634033,0.0
y,g,2.532567024230957,1.0
y,y,1.7697899341583252,1.0
r,g,2.037907123565674,1.0
r,b,1.8471481800079346,1.0
r,b,1.7758331298828125,1.0
g,y,2.003722906112671,1.0
b,b,1.5023958683013916,1.0
r,b,1.6290359497070312,1.0
